item_number,is_reversed
1,FALSE
2,FALSE
3,TRUE
4,TRUE
5,TRUE
6,FALSE
7,FALSE
8,TRUE
9,TRUE
10,FALSE
11,TRUE
12,TRUE
13,FALSE
14,FALSE
15,FALSE
16,TRUE
17,TRUE
18,FALSE
19,FALSE
20,FALSE
21,FALSE
22,TRUE
23,TRUE
24,TRUE
25,TRUE
26,TRUE
27,FALSE
28,TRUE
29,TRUE
30,TRUE
31,TRUE
32,FALSE
33,FALSE
34,FALSE
35,FALSE
36,TRUE
37,TRUE
38,FALSE
39,FALSE
40,FALSE
41,FALSE
42,TRUE
43,FALSE
44,TRUE
45,TRUE
46,FALSE
47,TRUE
48,TRUE
49,TRUE
50,TRUE
51,TRUE
52,FALSE
53,FALSE
54,FALSE
55,TRUE
56,FALSE
57,FALSE
58,TRUE
59,FALSE
60,FALSE
